iter	Passed	Remaining
0	259	259478
1	403	201582
2	579	192711
3	723	180274
4	871	173395
5	1001	165920
6	1171	166134
7	1320	163706
8	1464	161287
9	1605	158938
10	1762	158441
11	1912	157462
12	2073	157429
13	2232	157215
14	2380	156345
15	2536	155987
16	2686	155342
17	2820	153846
18	2952	152437
19	3084	151157
20	3236	150868
21	3391	150770
22	3559	151180
23	3697	150347
24	3828	149321
25	3957	148240
26	4125	148667
27	4281	148618
28	4423	148109
29	4584	148217
30	4735	148025
31	4903	148326
32	5054	148119
33	5215	148177
34	5354	147624
35	5488	146970
36	5639	146775
37	5766	145978
38	5917	145816
39	6054	145318
40	6212	145321
41	6372	145355
42	6515	144997
43	6679	145122
44	6842	145215
45	6994	145054
46	7144	144868
47	7286	144508
48	7421	144036
49	7561	143664
50	7707	143414
51	7853	143171
52	8012	143173
53	8179	143290
54	8330	143136
55	8470	142786
56	8607	142402
57	8745	142038
58	8885	141721
59	9047	141743
60	9192	141496
61	9325	141079
62	9479	140993
63	9618	140675
64	9758	140366
65	9915	140312
66	10067	140199
67	10201	139819
68	10353	139691
69	10492	139401
70	10647	139319
71	10805	139264
72	10980	139442
73	11140	139403
74	11289	139239
75	11435	139036
76	11596	139010
77	11744	138831
78	11910	138857
79	12052	138603
80	12226	138716
81	12380	138604
82	12543	138577
83	12682	138294
84	12827	138088
85	12973	137882
86	13137	137866
87	13288	137713
88	13472	137904
89	13617	137685
90	13774	137592
91	13910	137294
92	14065	137172
93	14244	137297
94	14431	137480
95	14588	137379
96	14750	137319
97	14912	137254
98	15096	137394
99	15238	137150
100	15392	137008
101	15568	137066
102	15741	137085
103	15895	136943
104	16072	137001
105	16232	136908
106	16413	136982
107	16648	137507
108	16872	137921
109	17041	137877
110	17178	137578
111	17322	137345
112	17496	137342
113	17646	137150
114	17795	136951
115	17949	136787
116	18097	136584
117	18249	136407
118	18390	136152
119	18524	135843
120	18696	135818
121	18857	135710
122	19015	135580
123	19150	135286
124	19315	135205
125	19463	135010
126	19628	134923
127	19816	135002
128	20010	135108
129	20165	134951
130	20322	134813
131	20491	134746
132	20623	134441
133	20766	134208
134	20908	133971
135	21121	134180
136	21280	134051
137	21439	133919
138	21690	134357
139	21883	134429
140	22051	134343
141	22207	134182
142	22350	133944
143	22479	133626
144	22636	133476
145	22773	133211
146	22917	132982
147	23041	132644
148	23180	132390
149	23327	132189
150	23497	132114
151	23641	131893
152	23795	131728
153	23952	131583
154	24142	131617
155	24300	131473
156	24489	131496
157	24628	131249
158	24789	131121
159	24957	131025
160	25125	130932
161	25300	130875
162	25465	130766
163	25618	130589
164	25776	130442
165	25922	130235
166	26072	130049
167	26234	129923
168	26392	129777
169	26591	129829
170	26771	129788
171	26966	129815
172	27130	129695
173	27271	129463
174	27432	129323
175	27589	129169
176	27766	129105
177	27951	129079
178	28099	128882
179	28268	128777
180	28448	128726
181	28622	128645
182	28782	128498
183	28923	128268
184	29103	128212
185	29254	128028
186	29399	127815
187	29528	127538
188	29673	127330
189	29812	127095
190	29957	126887
191	30101	126678
192	30308	126732
193	30449	126505
194	30590	126284
195	30737	126086
196	30900	125954
197	31028	125681
198	31157	125412
199	31299	125198
200	31440	124979
201	31561	124682
202	31695	124440
203	31819	124157
204	31959	123938
205	32107	123756
206	32240	123509
207	32361	123222
208	32500	123004
209	32631	122754
210	32773	122552
211	32919	122360
212	33073	122201
213	33199	121938
214	33344	121744
215	33470	121485
216	33603	121250
217	33735	121013
218	33872	120795
219	34001	120550
220	34153	120386
221	34292	120177
222	34428	119958
223	34583	119806
224	34743	119671
225	34885	119475
226	35037	119313
227	35183	119130
228	35340	118985
229	35464	118728
230	35616	118567
231	35754	118359
232	35889	118144
233	36028	117938
234	36187	117801
235	36333	117620
236	36505	117525
237	36639	117307
238	36770	117079
239	36930	116947
240	37111	116878
241	37262	116715
242	37457	116689
243	37621	116564
244	37770	116394
245	37907	116187
246	38073	116069
247	38227	115914
248	38407	115838
249	38565	115695
250	38725	115559
251	38922	115530
252	39108	115471
253	39288	115390
254	39450	115256
255	39596	115077
256	39774	114991
257	39924	114820
258	40078	114665
259	40260	114586
260	40404	114401
261	40548	114215
262	40692	114031
263	40817	113795
264	40972	113641
265	41127	113485
266	41253	113254
267	41402	113084
268	41561	112940
269	41716	112788
270	41862	112610
271	41984	112369
272	42144	112230
273	42299	112077
274	42440	111889
275	42566	111660
276	42693	111435
277	42847	111279
278	42982	111077
279	43115	110868
280	43244	110651
281	43381	110454
282	43510	110237
283	43628	109993
284	43765	109796
285	43905	109609
286	44055	109447
287	44213	109306
288	44398	109229
289	44560	109095
290	44719	108956
291	44938	108961
292	45284	109269
293	45427	109087
294	45583	108936
295	45738	108782
296	45912	108674
297	46077	108544
298	46214	108348
299	46368	108193
300	46516	108023
301	46682	107894
302	46867	107810
303	47024	107661
304	47212	107582
305	47380	107457
306	47546	107327
307	47687	107141
